WELL_ID,FLUID_ID,VOLUME,CONC,RATE,SAND_ID,CUM_FLUID,Interpreter
1021,A,10000,2,100,R,1690.47619,kjw
1021,A,10000,2.5,100,R,1928.571429,kjw
1021,A,6000,0,100,,2166.666667,kjw
1021,A,7000,0.25,100,Q,2309.52381,kjw
1021,A,7000,0.5,100,Q,2476.190476,kjw
1021,A,7000,0.75,100,Q,2642.857143,kjw
1021,A,14000,1,100,Q,2809.52381,kjw
1021,A,19000,1.25,100,Q,3142.857143,kjw
1021,A,6000,0.5,100,Q,3595.238095,kjw
1021,A,19000,1.5,100,Q,3738.095238,kjw
1021,A,6000,0.5,100,Q,4190.47619,kjw
1021,A,19000,1.75,100,Q,4333.333333,kjw
1021,A,6000,0.5,100,Q,4785.714286,kjw
1021,A,19000,2,100,Q,4928.571429,kjw
1021,A,6000,0.5,100,Q,5380.952381,kjw
1021,D,14000,1,100,ES,5523.809524,kjw
1021,D,8000,1.5,100,ES,5857.142857,kjw
1021,D,8000,2,100,ES,6047.619048,kjw
1021,D,8000,2.25,100,ES,6238.095238,kjw
1021,A,16810,0,100,,6428.571429,kjw
1021,A,0,0,0,,6828.809524,kjw
1022,A,4000,0,15,,0,kjw
1022,S,2500,0,15,,95.23809524,kjw
1022,A,10000,0,50,,154.7619048,kjw
1022,S,2500,0,85,,392.8571429,kjw
1022,A,30000,0,100,,452.3809524,kjw
1022,A,12000,0.25,100,R,1166.666667,kjw
1022,A,12000,0.5,100,R,1452.380952,kjw
1022,A,18000,0.75,100,R,1738.095238,kjw
1022,A,18000,1,100,R,2166.666667,kjw
1022,A,18000,1.25,100,R,2595.238095,kjw
1022,A,18000,1.5,100,R,3023.809524,kjw
1022,A,15000,0,100,,3452.380952,kjw
1022,A,12000,0.5,100,E,3809.52381,kjw
1022,A,14000,0.75,100,E,4095.238095,kjw
1022,A,16000,1,100,E,4428.571429,kjw
1022,A,8000,0.25,100,E,4809.52381,kjw
1022,A,16000,1,100,E,5000,kjw
1022,A,20000,1.25,100,E,5380.952381,kjw
1022,A,20000,1.5,100,E,5857.142857,kjw
1022,A,8000,0.25,100,E,6333.333333,kjw
1022,A,10000,1.5,100,E,6523.809524,kjw
1022,F,10000,1.75,100,E,6761.904762,kjw
1022,F,8000,2,100,E,7000,kjw
1022,F,8000,2.1,100,E,7190.47619,kjw
1022,F,6000,2.2,100,E,7380.952381,kjw
1022,F,5000,2.3,100,E,7523.809524,kjw
1022,F,5000,2.5,100,E,7642.857143,kjw
1022,A,17957,0,100,,7761.904762,kjw
1022,A,0,0,0,,8189.452381,kjw
1023,A,1000,0,15,,0,kjw
1023,S,2000,0,15,,23.80952381,kjw
1023,A,20000,0,100,,71.42857143,kjw
1023,A,8000,0.25,100,R,547.6190476,kjw
1023,A,10000,0.5,100,R,738.0952381,kjw
1023,A,12000,1,100,R,976.1904762,kjw
1023,A,14000,1.5,100,R,1261.904762,kjw
1023,A,10000,2,100,R,1595.238095,kjw
1023,A,8000,2.5,100,R,1833.333333,kjw
1023,A,6000,0,100,,2023.809524,kjw
1023,A,8000,0.25,100,Q,2166.666667,kjw
1023,A,8000,0.5,100,Q,2357.142857,kjw
1023,A,12000,0.75,100,Q,2547.619048,kjw
1023,A,16000,1,100,Q,2833.333333,kjw
1023,A,18000,1.25,100,Q,3214.285714,kjw
1023,A,6000,0.5,100,Q,3642.857143,kjw
1023,A,18000,1.5,100,Q,3785.714286,kjw
1023,A,6000,0.5,100,Q,4214.285714,kjw
1023,A,18000,1.75,100,Q,4357.142857,kjw
1023,A,6000,0.5,100,Q,4785.714286,kjw
1023,A,18000,2,100,Q,4928.571429,kjw
1023,A,6000,0.5,100,Q,5357.142857,kjw
